gml:id,gml:metaDataProperty,gml:description,gml:name,gml:boundedBy,gml:location,erl:identifier,erl:name,erl:mineralOccurrenceType,erl:commodity,erl:mineName,erl:geologicHistory,erl:hostGeologicUnit,erl:mineralDepositModel,erl:mineralOccurrenceShape,erl:explorationActivityType,erl:explorationActivityDuration,erl:explorationResult,erl:observationMethod,erl:positionalAccuracy,erl:source,erl:mineralOccurrenceType_uri,erl:representativeCommodity_uri,erl:mine_uri,erl:hostGeologicUnit_uri,erl:mineralDepositModel_uri,erl:representativeAge_uri,erl:representativeOlderAge_uri,erl:representativeYoungerAge_uri,erl:specification_uri,erl:shape
ga.erl.mineraloccurrenceview.333686,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333686,Griffins Find,deposit,Gold,Griffins Find,Archean,,,,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333686,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333686,POINT (118.31869765800002 -33.06745031300603)
ga.erl.mineraloccurrenceview.333687,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333687,Harbour Lights,deposit,Gold,Harbour Lights,Archean,,,,,,,"State or NT agency supplied location, method unknown",500 metres,St Barbara Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333687,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333687,POINT (121.32200000000002 -28.873700024469855)
ga.erl.mineraloccurrenceview.333688,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333688,George Fisher,deposit,"Zinc, Lead, Silver, Copper",George Fisher,Paleoproterozoic,,,,,,,method unknown,2000 metres,Glencore Xstrata plc,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/zinc,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333688,,,http://resource.geosciml.org/classifier/ics/ischart/Paleoproterozoic,http://resource.geosciml.org/classifier/ics/ischart/Paleoproterozoic,http://resource.geosciml.org/classifier/ics/ischart/Paleoproterozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333688,POINT (139.4720108377 -20.57105007876413)
ga.erl.mineraloccurrenceview.333689,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333689,Mintabie,deposit,Opal,Mintabie,,,,,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/opal,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333689,,,,,,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333689,POINT (133.3001936333 -27.322113900787983)
ga.erl.mineraloccurrenceview.333690,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333690,Mount Martin (gold),deposit,Gold,Mount Martin (gold),Archean,,,,,,,"State or NT agency supplied location, method unknown",500 metres,Metals X Limited,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333690,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333690,POINT (121.6825 -31.012800027951222)
ga.erl.mineraloccurrenceview.333691,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333691,Paddington,deposit,Gold,Paddington,Archean,,,,,,,satellite image,999 metres,Zijin Mining Group Company Ltd,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333691,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333691,POINT (121.3437 -30.485000027106302)
ga.erl.mineraloccurrenceview.333692,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333692,Sebastopol-Junee Reefs,deposit,Gold,Sebastopol-Junee Reefs,Paleozoic,,,,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333692,,,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333692,POINT (147.5263257453 -34.586463404255724)
ga.erl.mineraloccurrenceview.333693,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333693,Surveyor 1,deposit,"Lead, Gold, Silver, (Copper, Zinc, Zeolite)",Surveyor 1,Ordovician,,,,,,,"State or NT agency supplied location, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/lead,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333693,,,http://resource.geosciml.org/classifier/ics/ischart/Ordovician,http://resource.geosciml.org/classifier/ics/ischart/Ordovician,http://resource.geosciml.org/classifier/ics/ischart/Ordovician,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333693,POINT (144.697 -18.78010000887626)
ga.erl.mineraloccurrenceview.333694,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333694,Yoganup Group/Iluka,deposit,"Ilmenite, Zircon, Leucoxene, Mineral sands",Yoganup Group/Iluka,Quaternary,,,,,,,"State or NT agency supplied location, method unknown",0 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/ilmenite,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333694,,,http://resource.geosciml.org/classifier/ics/ischart/Quaternary,http://resource.geosciml.org/classifier/ics/ischart/Quaternary,http://resource.geosciml.org/classifier/ics/ischart/Quaternary,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333694,POINT (115.62010200000003 -33.64185003194)
ga.erl.mineraloccurrenceview.333695,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineraloccurrenceview/333695,Paynes Find,deposit,Gold,Paynes Find,Archean,,,,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mineral-occurrence-type/deposit,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333695,,,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://resource.geosciml.org/classifier/ics/ischart/Archean,http://pid.geoscience.gov.au/id/feature/ga/er/mineraloccurrence/333695,POINT (117.69175508800001 -29.253727389797675)
